CrPS4,1.5,5.93,0.07,0.67,-1.2,-0.21,-0.21,-0.21,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.05,0.05,0.05,6.72,6.72,6.73,2+2+4+2,46.65
CrPSe4,1.5,7.12,0.08,1.14,-0.88,-0.56,-0.56,-0.56,-0.04,-0.04,-0.03,-0.11,-0.11,-0.12,0.15,0.15,0.16,40.05,40.05,40.05,2+2+4+2,50
CrPTe4,1.47,9.04,0.52,3.66,-0.63,0.37,0.37,0.73,-0.09,-0.09,0.33,-0.23,-0.23,-0.33,-0.18,-0.18,-0.15,198.45,198.45,198.02,2+2+4+2,147.83
CrSBr,1.5,4.58,6.21,4.22,0.04,-0.23,-0.2,-0.21,-0.03,-0.03,-0.03,-0.07,-0.08,-0.08,0.05,0.05,0.05,16.91,16.88,16.87,2+4+2+4,205.33
CrSeBr,1.5,3.1,6.61,2.26,0.03,-0.46,-0.4,-0.41,0.02,0.01,0,-0.26,-0.26,-0.26,0.14,0.15,0.15,24.76,24.71,24.69,2+4+2+4,174.08
Cr2Ge2Te6,1.5,6.64,0.04,0.33,0,-0.31,-0.31,-0.01,0.02,0.02,0.01,0.12,0.12,-0.01,0,0,0,136.27,136.27,136.05,3+6+3+6,67.29
CrBr3,1.5,2.39,0.23,-0.05,0,-0.37,-0.37,-0.37,0.01,0.01,0.01,-0.04,-0.04,-0.02,0,0,0,40.26,40.26,40.31,3+6+3+6,31.43
CrCl3,1.5,1.82,0.13,-0.04,0,-0.21,-0.21,-0.21,-0.01,-0.01,-0.01,0,0,0,0,0,0,7.13,7.13,7.14,3+6+3+6,19.5
CrI3,1.5,3.04,0.48,-0.05,0,-0.57,-0.57,-0.37,0.01,0.01,0.02,0.12,0.12,-0.03,0,0,0,173.52,173.52,173.64,3+6+3+6,53.52
CrO2_P-4m2,1,65.22,0.07,5.71,-2.79,0.16,0.16,0.13,0.02,0.02,0.04,0.16,0.16,0.1,0.02,0.02,0.03,9.86,9.86,9.89,4+4+4+8,429.17
MnO2_P-4m2,1.5,31.08,-3.87,-10.74,2.11,0.06,0.06,0.1,-0.08,-0.08,-0.07,0.25,0.25,0.22,-0.19,-0.19,-0.2,4.53,4.53,4.73,4+4+4+8,100.83
CrTe2,1.3,0.56,1.34,-0.76,0,0.36,0.36,0.24,0.09,0.09,0.14,0.05,0.05,-0.15,0,0,0,135.62,135.62,135.16,6+6+6+12,40.58
CrTe2_refit_high,1.5,0.42,1.01,-0.57,0,0.27,0.27,0.18,0.06,0.06,0.1,0.04,0.04,-0.11,0,0,0,101.86,101.86,101.51,6+6+6+12,40.42
CrTe2_refit_low,1,0.95,2.27,-1.28,0,0.61,0.61,0.41,0.15,0.15,0.24,0.08,0.08,-0.25,0,0,0,229.19,229.19,228.4,6+6+6+12,41.57
MnSe2,1.5,7.44,0.41,-2.04,0,-0.14,-0.14,-0.08,0.11,0.11,0.11,0.01,0.01,0.03,0,0,0,24.31,24.31,24.24,6+6+6+12,91
VSe2-1T,0.56,21.9,17.79,14.55,0,0.13,0.13,-0.45,-0.32,-0.32,0.2,0.06,0.06,0.3,0,0,0,161.98,161.98,161.35,6+6+6+12,271.5
VSe2-1T_refit,0.5,27.04,21.96,17.96,0,0.16,0.16,-0.56,-0.4,-0.4,0.25,0.08,0.08,0.37,0,0,0,199.98,199.98,199.2,6+6+6+12,280
VSe2-2H,0.5,141.99,-5.02,-7.26,0,0.74,0.74,0.08,-0.49,-0.49,-0.38,-0.21,-0.21,-0.23,0,0,0,194.13,194.13,194.25,6+6+6+12,332.38
VSi2N4,0.5,120.45,9.36,-1.59,0,0.43,0.43,0.29,0.03,0.03,0.06,0.13,0.13,0.13,0,0,0,30.11,30.11,30.16,6+6+6+12,402
VSi2P4,0.5,93.62,-6.84,3.83,0,-0.43,-0.43,-0.51,0.08,0.08,0.04,0,0,0.02,0,0,0,37.81,37.81,37.87,6+6+6+12,257.04
VTe2-1T,0.63,-3.27,10.99,15.62,0,0.35,0.35,0.04,-1.51,-1.51,-0.92,-0.34,-0.34,-0.33,0,0,0,540.32,540.32,539.15,6+6+6+12,149.88
VTe2-1T_refit,0.5,-5.11,17.18,24.41,0,0.55,0.55,0.06,-2.36,-2.36,-1.44,-0.53,-0.53,-0.51,0,0,0,844.32,844.32,842.48,6+6+6+12,150
