CrTe2,1.3,0.56,1.34,-0.76,0,0.36,0.36,0.24,0.09,0.09,0.14,0.05,0.05,-0.15,0,0,0,135.62,135.62,135.16,6+6+6+12,40.58
CrTe2_refit_high,1.5,0.42,1.01,-0.57,0,0.27,0.27,0.18,0.06,0.06,0.1,0.04,0.04,-0.11,0,0,0,101.86,101.86,101.51,6+6+6+12,40.42
CrTe2_refit_low,1,0.95,2.27,-1.28,0,0.61,0.61,0.41,0.15,0.15,0.24,0.08,0.08,-0.25,0,0,0,229.19,229.19,228.4,6+6+6+12,41.57
MnSe2,1.5,7.44,0.41,-2.04,0,-0.14,-0.14,-0.08,0.11,0.11,0.11,0.01,0.01,0.03,0,0,0,24.31,24.31,24.24,6+6+6+12,91
VSe2-1T,0.56,21.9,17.79,14.55,0,0.13,0.13,-0.45,-0.32,-0.32,0.2,0.06,0.06,0.3,0,0,0,161.98,161.98,161.35,6+6+6+12,271.5
VSe2-1T_refit,0.5,27.04,21.96,17.96,0,0.16,0.16,-0.56,-0.4,-0.4,0.25,0.08,0.08,0.37,0,0,0,199.98,199.98,199.2,6+6+6+12,280
VSe2-2H,0.5,141.99,-5.02,-7.26,0,0.74,0.74,0.08,-0.49,-0.49,-0.38,-0.21,-0.21,-0.23,0,0,0,194.13,194.13,194.25,6+6+6+12,332.38
VSi2N4,0.5,120.45,9.36,-1.59,0,0.43,0.43,0.29,0.03,0.03,0.06,0.13,0.13,0.13,0,0,0,30.11,30.11,30.16,6+6+6+12,402
VSi2P4,0.5,93.62,-6.84,3.83,0,-0.43,-0.43,-0.51,0.08,0.08,0.04,0,0,0.02,0,0,0,37.81,37.81,37.87,6+6+6+12,257.04
VTe2-1T,0.63,-3.27,10.99,15.62,0,0.35,0.35,0.04,-1.51,-1.51,-0.92,-0.34,-0.34,-0.33,0,0,0,540.32,540.32,539.15,6+6+6+12,149.88
VTe2-1T_refit,0.5,-5.11,17.18,24.41,0,0.55,0.55,0.06,-2.36,-2.36,-1.44,-0.53,-0.53,-0.51,0,0,0,844.32,844.32,842.48,6+6+6+12,150
